! にじさんじ
! --------------------------------------------------------------------------------
あいぞのまなみ	[🌈愛園愛美]
あいばういは	[🌈相羽ういは]
あかばねようこ	[🌈赤羽葉子]
あさひなあかね	[🌈朝日南アカネ]
あすかひな	[🌈飛鳥ひな]
あづちもも	[🌈安土桃]
あまみやこころ	[🌈天宮こころ]
あめもりさよ	[🌈雨森小夜]
あるすあるまる	[🌈アルス・アルマル]
あんじゅかとりーな	[🌈アンジュ・カトリ…]
いえながむぎ	[🌈家長むぎ]
いずもかすみ	[🌈出雲霞]
いぬいとこ	[🌈戌亥とこ]
いぶらひむ	[🌈イブラヒム]
うしみいちご	[🌈宇志海いちご]
うづきこう	[🌈卯月コウ]
えくすあるびお	[🌈エクス・アルビオ]
えまおうがすと	[🌈えま★おうがすと]
えりーこにふぁー	[🌈エリー・コニファー]
える	[🌈エルフのえる]
おとぎばらえら	[🌈御伽原江良]
おのまちはるか	[🌈小野町春香]
かいだはる	[🌈甲斐田晴]
かがみはやと	[🌈加賀美ハヤト]
かたりべつむぐ	[🌈語部紡]
かなえ	[🌈神田笑一]
かんだしょういち	[🌈神田笑一]
きたこうじひすい	[🌈北小路ヒスイ]
きんぎょざかめいろ	[🌈金魚坂めいろ]
ぎるざれんさんせい	[🌈ギルザレンⅢ世]
くずは	[🌈葛葉]
くるすなつめ	[🌈来栖夏芽]
くろいしば	[🌈黒井しば]
ぐうぇるおすがーる	[🌈グウェル・オス・…]
ぐんどうみれい	[🌈郡道美玲]
けんもちとうや	[🌈剣持刀也]
げんづきとうじろう	[🌈弦月藤士郎]
さえぐさあきな	[🌈三枝明那]
さくらりつき	[🌈桜凛月]
ささきさく	[🌈笹木咲]
しいなゆいか	[🌈椎名唯華]
しぇりんばーがんでぃ	[🌈シェリン・バーガ…]
しすたーくれあ	[🌈シスター・クレア]
しずかりん	[🌈静凛]
しぶやはじめ	[🌈渋谷ハジメ]
しらゆきともえ	[🌈白雪巴]
じょーりきいち	[🌈ジョー・力一]
すおうさんご	[🌈周央サンゴ]
すこやかな	[🌈健屋花那]
すずかうたこ	[🌈鈴鹿詩子]
すずきまさる	[🌈鈴木勝]
すずはらるる	[🌈鈴原るる]
すずやあき	[🌈鈴谷アキ]
せとみやこ	[🌈瀬戸美夜子]
そらほしきらめ	[🌈空星きらめ]
